frame	xtl	ytl	xbr	ybr	class
2018_02-13_1418_left/000000	1666	872	1732	969	4.1
2018_02-13_1418_left/000002	1665	873	1733	969	4.1
2018_02-13_1418_left/000003	1589	874	1656	966	2.4
2018_02-13_1418_left/000003	1666	876	1733	967	4.1
2018_02-13_1418_left/000004	1668	876	1731	966	4.1
2018_02-13_1418_left/000005	1590	875	1655	965	2.4
2018_02-13_1418_left/000005	1667	876	1731	968	4.1
2018_02-13_1418_left/000006	1592	875	1658	965	2.4
2018_02-13_1418_left/000006	1665	874	1732	962	4.1
2018_02-13_1418_left/000007	1665	877	1733	967	4.1
2018_02-13_1418_left/000008	1667	880	1732	967	4.1
2018_02-13_1418_left/000009	1667	881	1732	970	4.1
2018_02-13_1418_left/000010	1669	880	1730	965	4.1
2018_02-13_1418_left/000011	1668	877	1732	966	4.1
2018_02-13_1418_left/000012	1670	880	1733	971	4.1
2018_02-13_1418_left/000013	1672	883	1732	969	4.1
2018_02-13_1418_left/000014	1674	883	1735	971	4.1
2018_02-13_1418_left/000015	1672	880	1734	967	4.1
2018_02-13_1418_left/000016	1669	880	1734	968	4.1
2018_02-13_1418_left/000017	1670	880	1736	969	4.1
2018_02-13_1418_left/000018	1615	876	1680	967	2.4
2018_02-13_1418_left/000018	1673	879	1740	971	4.1
2018_02-13_1418_left/000019	1674	883	1741	974	4.1
2018_02-13_1418_left/000020	1676	883	1744	977	4.1
2018_02-13_1418_left/000021	1626	884	1692	976	2.4
2018_02-13_1418_left/000021	1677	884	1746	977	4.1
2018_02-13_1418_left/000022	1630	885	1692	973	2.4
2018_02-13_1418_left/000022	1687	886	1752	975	4.1
2018_02-13_1418_left/000023	1637	886	1697	970	2.4
2018_02-13_1418_left/000023	1692	888	1754	972	4.1
2018_02-13_1418_left/000024	1635	884	1698	971	2.4
2018_02-13_1418_left/000025	1644	885	1706	972	2.4
2018_02-13_1418_left/000026	1646	885	1711	975	2.4
2018_02-13_1418_left/000027	1648	886	1713	975	2.4
2018_02-13_1418_left/000028	1651	886	1716	975	2.4
2018_02-13_1418_left/000029	1655	886	1719	972	2.4
2018_02-13_1418_left/000035	1921	1551	1967	1623	2.4
2018_02-13_1418_left/000039	1855	875	1919	965	4.1
2018_02-13_1418_left/000040	1855	882	1920	970	4.1
2018_02-13_1418_left/000041	1859	878	1925	971	4.1
2018_02-13_1418_left/000042	1801	877	1870	974	2.4
2018_02-13_1418_left/000042	1869	879	1938	974	4.1
2018_02-13_1418_left/000043	1807	878	1878	973	2.4
2018_02-13_1418_left/000043	1872	878	1941	970	4.1
2018_02-13_1418_left/000044	1809	879	1882	977	2.4
2018_02-13_1418_left/000045	1826	878	1901	977	2.4
2018_02-13_1418_left/000046	1838	879	1906	970	2.4
2018_02-13_1418_left/000047	1842	880	1912	968	2.4
2018_02-13_1418_left/000053	1947	877	2020	973	2.4
